Title	First Author First Name	First Author Surname	Corresponding Author First Name	Corresponding Author Surname	Corresponding Author Order	Publication Name	Alternate Name	Abstract	Url	Author Address	Year	DOI	Reference Type	PDF Relative Path	Keywords
Evidence-based systematic review: Oropharyngeal dysphagia behavioral treatments. Part IV -- Impact of dysphagia treatment on individuals' postcancer treatments		McCabe, D., Ashford, J., Wheeler-Hegland, K., Frymark, T., Mullen, R., Musson, N., Hammond, C. S., Schooling, T., Davenport and Taylor Memorial Hospital, Bath N. Y.				journal of rehabilitation research & development	journal of rehabilitation research & development	This evidence-based systematic review (EBSR) is part of a series of reviews investigating swallowing behavioral treatments for individuals with dysphagia. This EBSR focuses primarily on individuals with dysphagia postcancer treatments. The seven behavioral interventions under review included three postural interventions (side lying, chin tuck, and head rotation) and four swallowing maneuvers (effortful swallow, Mendelsohn, supraglottic swallow, and super-supraglottic swallow). We systematically searched the dysphagia literature from March 2007 to April 2008. Six studies that met the inclusion and exclusion criteria were evaluated for methodological quality and characterized by research stage. Effect sizes were calculated when possible. All studies included were considered exploratory, with quality-marker scores ranging from 1 to 4 out of 7 possible markers. Five studies examined one or more of the four swallowing maneuvers, and one study addressed the chin-tuck posture. No studies addressed side lying or head rotation. Currently, limited evidence exists from six studies showing the positive effects of behavioral swallowing interventions for populations with structural disorder. Because of the range of structural deficits resulting from cancers and their treatments, further research is needed that evaluates specific intervention effectiveness.			2009				530
Laparoscopic nephrectomy in children: systematic review of transperitoneal and retroperitoneal approaches		Kim, C., McKay, K. and Docimo, S. G.				urology	urology	OBJECTIVES: To perform a systematic review of the available medical data concerning laparoscopic nephrectomy in children. For many pediatric urologists, the laparoscopic approach to nephrectomy has become the standard of care. Access can be obtained using a retroperitoneal (RP) or transperitoneal (TP) approach. Previously, debates have argued the advantage of each technique relative to the other. METHODS: We performed a data search through MEDLINE and PubMed to find reports of laparoscopic nephrectomy, nephroureterectomy, and partial nephrectomy in children. We analyzed the operative time, hospital stay, and rate of complication with each approach. Specifically, we assessed the rate of vascular, solid organ, and bowel injuries. RESULTS: We found 51 articles that reported the outcomes of 689 pediatric nephrectomies. Of these, 401 were RP and 288 were TP laparoscopic renal surgeries in children. The mean patient age for RP and TP was 5.4 years and 4.8 years, respectively. The mean operative time was 129 minutes for RP and 154 minutes for TP. The hospital stay was 2.5 days for RP and 2.3 days for TP. The overall complication rate for RP was 4.3% and for TP was 3.5% (P = .58). The number of vascular injuries for RP was 2 and for TP was 0 (P = .12). The number of bowel injuries for RP was 2 and for TP was 1 (P = .68). CONCLUSIONS: According to the available published data, no significant advantage is gained by a RP or TP approach for laparoscopic nephrectomy. Although the operative time for RP was slightly shorter than for TP, the types of cases performed were not directly matched and thus were more challenging to compare. The incidence of vascular and bowel injuries was rare for both approaches. Therefore, the choice of approach should be determined by surgeon preference, patient anatomy, or the procedure to be performed.			2009				403
Effect of medication dosing frequency on adherence in chronic diseases		Saini, S. D., Schoenfeld, P., Kaulback, K. and Dubinsky, M. C.				the american journal of managed care	the american journal of managed care	OBJECTIVE: To systematically review available data on the effect of daily medication dosing frequency on medication adherence in chronic disease states, as assessed by precise medication event monitoring systems (MEMS). STUDY DESIGN: Systematic review of relevant literature published between January 1986 and August 2007. METHODS: Four electronic databases were searched to identify appropriate studies. Study selection criteria included prospective study design, patient population with quiescent chronic disease, medication intervention prescribed to each treatment arm for at least 6 weeks, and the use of MEMS to measure adherence. Data were extracted on the chronic disease being treated, the frequency of medication dosing, and the proportion of days with correct number of doses. RESULTS: Twenty studies met the selection criteria. All studies reported higher adherence rates in patients using less frequently dosed medications, and these differences were statistically significant (P <.05) in 75% (15 of 20) of studies. For 5 of 6 studies comparing once-daily versus thrice-daily dosing, patients receiving once-daily dosing had 22% to 41% more adherent days compared with patients receiving thrice-daily dosing. For studies comparing once-daily versus twice-daily dosing, patients receiving once-daily dosing had 2% to 44% more adherent days compared with patients receiving twice-daily dosing, with most studies clustering around 13% to 26%. CONCLUSION: Patients are more compliant with once-daily compared with twice-daily or thrice-daily treatment regimens.			2009				717
HIV monotherapy with ritonavir-boosted protease inhibitors: a systematic review		Bierman, W. F., van Agtmael, M. A., Nijhuis, M., Danner, S. A. and Boucher, C. A.				aids (london, england)	aids (london, england)	OBJECTIVE: To assess the efficacy of ritonavir-boosted protease inhibitor monotherapy. DESIGN AND METHODS: Systematic review of all protease inhibitor-monotherapy studies published in peer-reviewed journals or presented at conferences to date. Data of randomized controlled trials were pooled to yield common odds ratios. RESULTS: Twenty-two protease inhibitor-monotherapy studies were identified. In the intent-to-treat analysis, 395 out of 582 (67.9%) patients had undetectable HIV-RNA at the end of follow-up. In the six randomized controlled trials (all lopinavir/ritonavir monotherapy), the risk of therapy failure was greater on monotherapy: 121 out of 364 (33.2%) patients on monotherapy against 64 out of 280 (22.9%) patients on HAART [pooled odds ratio 1.48 (95% confidence interval 1.02-2.13, P = 0.037)]. Regarding patients with successfully resuppressed HIV-RNA upon (re-)introducing nucleoside reverse transcriptase inhibitors (NRTIs) as nonfailures, the risk of therapy failure was comparable: 98 out of 364 (26.9%) against 64 out of 280 (22.9%) patients [odds ratio 1.05 (95% confidence interval 0.72-1.53, P = 0.81)]. CONCLUSION: The overall efficacy of ritonavir-boosted protease inhibitor monotherapy is inferior to HAART. The efficacy improves in patients started on monotherapy after suppressed HIV-RNA for at least 6 months. Ten percent of patients have viral rebound with HIV-RNA levels between 50 and 500 copies/ml. Possible explanations are lack of HIV suppression in particular cells or compartments, alternative resistance mechanisms, and nonadherence. Once proven that reintroduction of NRTIs, in patients with loss of viral suppression, is safe and effective, a broader use of simplification of HAART to protease inhibitor monotherapy might be justified. This review supports that the majority of patients with prolonged viral suppression on HAART can successfully be treated with protease inhibitor monotherapy. Arguments for this strategy are NRTI/NNRTI side effects, NRTI/NNRTI resistance, and costs.			2009				75
An update on the treatment of bipolar depression		Azorin, J. M. and Kaladjian, A.				expert opinion on pharmacotherapy	expert opinion on pharmacotherapy	BACKGROUND: Although depression accounts for a large part of the burden associated with bipolar disorder, its drug treatment has been under-studied. OBJECTIVE: To provide the best available evidence supporting the pharmacotherapy of bipolar depression. METHODS: A systematic review was conducted, focusing on randomized, controlled trials (RCTs) and meta-analyses. RESULTS/CONCLUSIONS: Despite FDA approval of both the olanzapine-fluoxetine combination and quetiapine for the treatment of acute bipolar depression, independent RCTs (i.e., not trials conducted 'under the umbrella' of a drug company) have not found any drug to have antidepressant effects similar to those seen in unipolar depression. A practice-based suggestion, valuable for both short- and long-term treatment, might be to have a background of mood stabilizers and to add drugs, following one of several treatment options, trusting to find a drug with a degree of effectiveness by trial and error. The list of drugs that could be used would include all the current antidepressants, the olanzapine-fluoxetine combination and probably quetiapine too. Special features and situations might also influence treatment options.			2009				48
Low-dose oral misoprostol for induction of labor: a systematic review		Kundodyiwa, T. W., Alfirevic, Z. and Weeks, A. D.				obstetrics and gynecology	obstetrics and gynecology	OBJECTIVE: To estimate the efficacy and safety of low-dose oral misoprostol compared with dinoprostone (PGE2), vaginal misoprostol, and oxytocin for labor induction in women with a viable fetus. DATA SOURCES: We conducted electronic database searches of PubMed, MEDLINE, EMBASE, and the Cochrane Library for articles published before January 2008 using the keywords misoprostol, labor, induction, randomized controlled trials, dinoprostone, oxytocin, pregnancy, and maternal and fetal side effects. METHODS OF STUDY SELECTION: We included randomized controlled trials comparing 20-25 micrograms oral misoprostol with vaginal misoprostol, dinoprostone or oxytocin given to women at 32-42 weeks of gestation for labor induction. From 401 citations identified, results from nine studies were finally analyzed using the Review Manager software. Relative risk (RR) and 95% confidence intervals (CIs) were calculated using fixed and random-effects models. TABULATION, INTEGRATION, AND RESULTS: Nine articles with 2,937 women met the inclusion criteria. The five trials comparing oral misoprostol and dinoprostone showed significantly fewer women requiring cesarean delivery in the misoprostol group (20% compared with 26%; RR 0.82, 95% CI 0.71-0.96). There were no statistically significant differences in risks of uterine hyperstimulation or need for oxytocin augmentation. Two trials compared oral with vaginal low-dose misoprostol. Women using oral misoprostol were significantly less likely to experience uterine hyperstimulation with fetal heart rate changes (2% compared with 13%; RR 0.19, 95% CI 0.08-0.46), but there were no significant differences in other outcomes. CONCLUSION: Low-dose oral misoprostol solution (20 micrograms) administered every 2 hours seems at least as effective as both vaginal dinoprostone and vaginal misoprostol, with lower rates of cesarean delivery and uterine hyperstimulation, respectively.			2009				426
Tracheal rupture after endotracheal intubation: a literature systematic review		Miñambres, E., Burón, J., Ballesteros, M. A., Llorca, J., Muñoz, P. and González-Castro, A.				european journal of cardio-thoracic surgery : official journal of the european association for cardio-thoracic surgery	european journal of cardio-thoracic surgery : official journal of the european association for cardio-thoracic surgery	We aim to perform a systematic review and meta-analysis of the cases of postintubation tracheal rupture (PiTR) published in the literature, with the aim of determining the risk factors that contribute to tracheal rupture during endotracheal intubation. A further objective has been to determine the ideal treatment for this condition (surgical repair or conservative management). A MEDLINE review of cases of tracheal rupture after intubation published in the English language and a review of the references in the articles found. The articles included were those that reported at least the demographic data (age and sex), the treatment performed, and the outcome. Those papers that did not detail the above variables were excluded. The search found 50 studies that satisfied the inclusion criteria. These studies included 182 cases of postintubation tracheal rupture. The overall mortality was 22% (40 patients). A statistical analysis was performed determining the relative risk (RR), 95% confidence intervals (95% CI) and/or statistical significance. The analysis was performed on the overall group and after dividing into 2 subgroups: patients in whom the lesion was detected intraoperatively, and other patients. Patient age (p=0.015) and emergency intubation (RR=3.11; 95% CI, 1.81-5.33; p=0.001) were variables associated with an increased mortality. In those patients in whom the PiTR was detected outside the operating theatre (delayed diagnosis), emergency intubation (RR=3.05; 95% CI, 1.69-5.51; p<0.0001), the absence of subcutaneous emphysema (RR=2.17; 95% CI, 1.25-4; p=0.001), and surgical treatment (RR=2.09; 95% CI, 1.08-4.07; p=0.02) were associated with an increased mortality. In addition, age (p=0.1) and male gender (RR=1.89; 95% CI, 0.98-3.63; p=0.13) showed a clear trend towards an increased mortality. PiTR is an uncommon condition but carries a high morbidity and mortality. Emergency intubation is the principal risk factor, increasing the risk of death threefold compared to elective intubation. Conservative treatment is associated with a better outcome. However, the group of patients who would benefit from surgical treatment has not been fully defined. Further studies are required to evaluate the best treatment options.			2009				553
Interventions to improve medication-adherence after transplantation: a systematic review		De Bleser, L., Matteson, M., Dobbels, F., Russell, C. and De Geest, S.				transplant international : official journal of the european society for organ transplantation	transplant international : official journal of the european society for organ transplantation	Reports of interventions to improve adherence to medical regimens in solid organ transplant recipients are scarce. A systematic review identified 12 intervention studies. These studies focused on renal, heart, and liver transplant recipients. Five reports used randomized controlled trial (RCT) designs. Sample sizes varied between 18 and 110 subjects. The interventions are difficult to evaluate and categorize because of brief descriptions of intervention details. Of the 12 studies identified in this review, only five studies found a statistically significant improvement in at least one medication-adherence outcome with the intervention. In general, most included a combination of patient-focused cognitive/educational, counseling/behavioral, and psychologic/affective dimensions. Eight studies intervened at the healthcare provider, healthcare setting or healthcare system level, but showed a limited improvement in adherence. No single intervention proved to be superior at increasing medication-adherence in organ transplantation, but a combination of interventions in a team approach for the chronic disease management of organ transplant patients may be effective in a long-term perspective. In conclusion, finding the most effective combination of interventions to enhance adherence is vital. Utilizing an RCT design and adhering to the CONSORT guidelines can lead to higher quality studies and possibly more effective intervention studies to enhance medication-adherence.			2009				184
Systematic review of minimally invasive pancreatic resection		Briggs, C. D., Mann, C. D., Irving, G. R., Neal, C. P., Peterson, M., Cameron, I. C. and Berry, D. P.				journal of gastrointestinal surgery : official journal of the society for surgery of the alimentary tract	journal of gastrointestinal surgery : official journal of the society for surgery of the alimentary tract	BACKGROUND: Pancreatic resection is associated with a significant morbidity. Efforts to reduce hospital stay and enhance recovery have seen the introduction of minimally invasive surgical techniques. This article reviews the current published literature on the safety and efficacy of minimally invasive surgery of the pancreas. METHODS: An electronic search of the PubMed and Embase databases was performed from 1996 to May 2008 to identify all relevant publications; studies meeting predefined inclusion criteria were retrieved and analyzed using a standardized protocol. Data on the safety and efficacy of minimally invasive surgery of the pancreas were recorded and analyzed. RESULTS: Of 565 abstracts reviewed, 39 studies were identified as eligible for inclusion. There were 37 case series and two case control studies. Compared with open pancreatic surgery, minimally invasive pancreatic resection is similar in terms of morbidity and mortality. Blood loss and length of stay are decreased. CONCLUSIONS: Laparoscopic distal pancreatic resection and enucleation of insulinoma appear to be safe procedures with reduced hospital stay, though morbidity remains significant. The evidence for laparoscopic pancreaticoduodenectomy is in its infancy, but the authors feel it is unlikely that many centers will achieve sufficient case load to make the introduction of minimally invasive resection feasible.			2009				97
Efficacy of Crude Marijuana and Synthetic Delta-9-Tetrahydrocannabinol as Treatment for Chemotherapy-Induced Nausea and Vomiting: A Systematic Literature Review		Cotter, J.				oncology nursing forum	oncology nursing forum	PURPOSE/OBJECTIVES: To synthesize the research to determine whether oral delta-9-tetrahydrocannabinol (THC) and smoked marijuana are effective treatments for chemotherapy-induced nausea and vomiting (CINV) and to evaluate side effects and patient preference of these treatments.DATA SOURCES: Original research, review articles, and other published articles in CINAHL(R), MEDLINE(R), and Cochrane Library databases.DATA SYNTHESIS: Cannabinoids are effective in controlling CINV, and oral THC and smoked marijuana have similar efficacy. However, smoked marijuana may not be accessible or safe for all patients with cancer. Also, these drugs have a unique side-effect profile that may include alterations in motor control, dizziness, dysphoria, and decreased concentration.CONCLUSIONS: This synthesis shows that cannabinoids are more effective than placebo and comparable to antiemetics such as prochlorperazine and ondansetron for CINV.Implications for Nursing: Nurses should feel supported by the literature to recommend oral synthetic THC as a treatment for CINV to their patients and physician colleagues. Nurses should be cognizant of the side-effect profile for this medication and provide appropriate patient education.			2009				162
