Title	First Author First Name	First Author Surname	Corresponding Author First Name	Corresponding Author Surname	Corresponding Author Order	Publication Name	Alternate Name	Abstract	Url	Author Address	Year	DOI	Reference Type	PDF Relative Path	Keywords
Partner notification for sexually transmitted infections in developing countries: a systematic review		Alam, N., Chamot, E., Vermund, S. H., Streatfield, K. and Kristensen, S.				bmc public health	bmc public health	BACKGROUND: The feasibility and acceptability of partner notification (PN) for sexually transmitted infections (STIs) in developing countries was assessed through a comprehensive literature review, to help identify future intervention needs. METHODS: The Medline, Embase, and Google Scholar databases were searched to identify studies published between January 1995 and December 2007 on STI PN in developing countries. A systematic review of the research extracted information on: (1) willingness of index patients to notify partners; (2) the proportion of partners notified or referred; (3) client-reported barriers in notifying partners; (4) infrastructure barriers in notifying partners; and (5) PN approaches that were evaluated in developing countries. RESULTS: Out of 609 screened articles, 39 met our criteria. PN outcome varied widely and was implemented more often for spousal partners than for casual or commercial partners. Reported barriers included sociocultural factors such as stigma, fear of abuse for having an STI, and infrastructural factors related to the limited number of STD clinics, and trained providers and reliable diagnostic methods. Client-oriented counselling was found to be effective in improving partner referral outcomes. CONCLUSIONS: STD clinics can improve PN with client-oriented counselling, which should help clients to overcome perceived barriers. The authors speculate that well-designed PN interventions to evaluate the impact on STI prevalence and incidence along with cost-effectiveness components will motivate policy makers in developing countries to allocate more resources towards STI management.			2010				17
Inhaled nitric oxide in preterm infants: a systematic review and individual patient data meta-analysis		Askie, L. M., Ballard, R. A., Cutter, G., Dani, C., Elbourne, D., Field, D., Hascoet, J. M., Hibbs, A. M., Kinsella, J. P., Mercier, J. C., Rich, W., Schreiber, M. D., Srisuparp, P., Subhedar, N. V., Van Meurs, K. P., Voysey, M., Barrington, K., Ehrenkranz, R. A., Finer, N. and Meta-Analysis of Preterm Patients on inhaled Nitric Oxide, Collaboration				bmc pediatrics	bmc pediatrics	BACKGROUND: Preterm infants requiring assisted ventilation are at significant risk of both pulmonary and cerebral injury. Inhaled Nitric Oxide, an effective therapy for pulmonary hypertension and hypoxic respiratory failure in the full term infant, has also been studied in preterm infants. The most recent Cochrane review of preterm infants includes 11 studies and 3,370 participants. The results show a statistically significant reduction in the combined outcome of death or chronic lung disease (CLD) in two studies with routine use of iNO in intubated preterm infants. However, uncertainty remains as a larger study (Kinsella 2006) showed no significant benefit for iNO for this combined outcome. Also, trials that included very ill infants do not demonstrate significant benefit. One trial of iNO treatment at a later postnatal age reported a decrease in the incidence of CLD. The aim of this individual patient meta-analysis is to confirm or refute these potentially conflicting results and to determine the extent to which patient or treatment characteristics may explain the results and/or may predict benefit from inhaled Nitric Oxide in preterm infants. METHODS/DESIGN: The Meta-Analysis of Preterm Patients on inhaled Nitric Oxide (MAPPiNO) Collaboration will perform an individual patient data meta-analysis to answer these important clinical questions. Studies will be included if preterm infants receiving assisted ventilation are randomized to receive inhaled Nitric Oxide or to a control group. The individual patient data provided by the Collaborators will be analyzed on an intention-to-treat basis where possible. Binary outcomes will be analyzed using log-binomial regression models and continuous outcomes will be analyzed using linear fixed effects models. Adjustments for trial differences will be made by including the trial variable in the model specification. DISCUSSION: Thirteen (13) trials, with a total of 3567 infants are eligible for inclusion in the MAPPiNO systematic review. To date 11 trials (n = 3298, 92% of available patients) have agreed to participate. Funding was successfully granted from Ikaria Inc as an unrestricted grant. A collaborative group was formed in 2006 with data collection commencing in 2007. It is anticipated that data analysis will commence in late 2009 with results being publicly available in 2010.			2010				45
The role of inhaled corticosteroids and montelukast in children with mild-moderate asthma: results of a systematic review with meta-analysis		Castro-Rodriguez, J. A. and Rodrigo, G. J.				archives of disease in childhood	archives of disease in childhood	OBJECTIVE: To compare the efficacy of inhaled corticosteroids (ICS) versus montelukast (MONT) in schoolchildren and adolescents with mild-moderate persistent asthma. METHODS: Randomised, prospective, controlled trials published January 1996 to November 2009 with a minimum of 4 weeks of ICS versus MONT and of ICS versus MONT+ICS were retrieved through Medline, Embase and Central databases. The primary outcome was asthma exacerbations requiring systemic corticosteroids (AEX); secondary outcomes were pulmonary function, withdrawal/hospitalisation due to AEX, change in symptoms score, rescue-medication-free days, albuterol use, adverse effects and adherence. RESULTS: Of 124 studies identified, 18 studies (n=3757 patients) met criteria for inclusion (13 compared ICS vs MONT, 3 ICS vs MONT+ICS and 2 ICS vs MONT vs ICS+MONT). Patients receiving ICS showed a significantly lower risk for AEX than those with MONT (RR=0.83, 95% CI 0.72 to 0.96, p=0.01); post-hoc analysis suggests this effect was independent of quality, sponsorship and study duration. Children treated with ICS had a significant higher pulmonary function (final FEV1 % predicted, change from baseline FEV1 %, final morning peak expiratory flow (PEF)) and better clinical parameters (albuterol use, symptom score, rescue-medication-free days, withdrawals due to AEX) versus MONT. No significant difference in primary or secondary outcomes was found when MONT was added on to ICS versus ICS alone; however, these analyses were based on only two studies. CONCLUSIONS: Schoolchildren and adolescents with mild-moderate persistent asthma treated with ICS had less AEX and better lung function and asthma control than with MONT. There are insufficient data to determine whether the addition of MONT to ICS improves outcome.			2010				122
Complications related to deep venous thrombosis prophylaxis in trauma: a systematic review of the literature		Datta, I., Ball, C. G., Rudmik, L., Hameed, S. M. and Kortbeek, J. B.				journal of trauma management & outcomes	journal of trauma management & outcomes	Deep venous thrombosis prophylaxis is essential to the appropriate management of multisystem trauma patients. Without thromboprophylaxis, the rate of venous thrombosis and subsequent pulmonary embolism is substantial. Three prophylactic modalities are common: pharmacologic anticoagulation, mechanical compression devices, and inferior vena cava filtration. A systematic review was completed using PRISMA guidelines to evaluate the potential complications of DVT prophylactic options. Level one evidence currently supports the use of low molecular weight heparins for thromboprophylaxis in the trauma patient. Unfortunately, multiple techniques are not infrequently required for complex multisystem trauma patients. Each modality has potential complications. The risks of heparin include bleeding and heparin induced thrombocytopenia. Mechanical compression devices can result in local soft tissue injury, bleeding and patient non-compliance. Inferior vena cava filters migrate, cause inferior vena cava occlusion, and penetrate the vessel wall. While the use of these techniques can be life saving, they must be appropriately utilized.			2010				177
Subnormal vitamin B12 concentrations and anaemia in older people: a systematic review		den Elzen, W. P., van der Weele, G. M., Gussekloo, J., Westendorp, R. G. and Assendelft, W. J.				bmc geriatrics	bmc geriatrics	BACKGROUND: Pernicious anaemia is undeniably associated with vitamin B12 deficiency, but the association between subnormal vitamin B12 concentrations and anaemia in older people is unclear. The aim of this systematic review was to evaluate the association between subnormal vitamin B12 concentrations and anaemia in older people. METHODS: Clinical queries for aetiology and treatment in bibliographic databases (PubMed [01/1949-10/2009]; EMBASE [01/1980-10/2009]) were used. Reference lists were checked for additional relevant studies. Observational studies (> or =50 participants) and randomized placebo-controlled intervention trials (RCTs) were considered. RESULTS: 25 studies met the inclusion criteria. Twenty-one observational cross-sectional studies (total number of participants n = 16185) showed inconsistent results. In one longitudinal observational study, low vitamin B12 concentrations were not associated with an increased risk of anaemia (total n = 423). The 3 RCTs (total n = 210) were well-designed and showed no effect of vitamin B12 supplementation on haemoglobin concentrations during follow-up in subjects with subnormal vitamin B12 concentrations at the start of the study. Due to large clinical and methodological heterogeneity, statistical pooling of data was not performed. CONCLUSIONS: Evidence of a positive association between a subnormal serum vitamin B12 concentration and anaemia in older people is limited and inconclusive. Further well-designed studies are needed to determine whether subnormal vitamin B12 is a risk factor for anaemia in older people.			2010				193
Exercise and global well-being in community-dwelling adults with fibromyalgia: a systematic review with meta-analysis		Kelley, G. A., Kelley, K. S., Hootman, J. M. and Jones, D. L.				bmc public health	bmc public health	BACKGROUND: Exercise has been recommended for improving global-well being in adults with fibromyalgia. However, no meta-analysis has determined the effects of exercise on global well-being using a single instrument and when analyzed separately according to intention-to-treat and per-protocol analyses. The purpose of this study was to fill that gap. METHODS: Studies were derived from six electronic sources, cross-referencing from retrieved studies and expert review. Dual selection of randomized controlled exercise training studies published between January 1, 1980 and January 1, 2008 and in which global well-being was assessed using the Fibromyalgia Impact Questionnaire (FIQ) were included. Dual abstraction of data for study, subject and exercise program characteristics as well as assessment of changes in global well-being using the total score from the FIQ was conducted. Risk of bias was assessed using the Cochrane bias assessment tool. Random-effects models and Hedge's standardized effect size (g) were used to pool results according to per-protocol and intention-to-treat analyses. RESULTS: Of 1,025 studies screened, 7 representing 5 per-protocol and 5 intention-to-treat outcomes in 473 (280 exercise, 193 control) primarily female (99%) participants 18-73 years of age were included. Small, statistically significant improvements in global well-being were observed for per-protocol (g and 95% confidence interval, -0.39, -0.69 to -0.08) and intention-to-treat (-0.34, -0.53 to -0.14) analyses. No statistically significant within-group heterogeneity was found (per-protocol, Qw = 6.04, p = 0.20, I2 = 33.8%; intention-to-treat, Qw = 3.19, p = 0.53, I2 = 0%) and no between-group differences for per-protocol and intention-to-treat outcomes were observed (Qb = 0.07, p = 0.80). Changes were equivalent to improvements of 8.2% for per-protocol analyses and 7.3% for intention-to-treat analyses. CONCLUSIONS: The results of this study suggest that exercise improves global well-being in community-dwelling women with fibromyalgia. However, additional research on this topic is needed, including research in men as well as optimal exercise programs for improving global well-being in adults.			2010				392
Systematic evidence review of newborn screening and treatment of severe combined immunodeficiency		Lipstein, E. A., Vorono, S., Browning, M. F., Green, N. S., Kemper, A. R., Knapp, A. A., Prosser, L. A. and Perrin, J. M.				pediatrics	pediatrics	CONTEXT: Severe combined immunodeficiency (SCID) is a group of disorders that leads to early childhood death as a result of severe infections. Recent research has addressed potential newborn screening for SCID. OBJECTIVE: To conduct a systematic review of the evidence for newborn screening for SCID, including test characteristics, treatment efficacy, and cost-effectiveness. METHODS: We searched Medline and the OVID In-Process & Other Non-Indexed Citations databases. We excluded articles if they were reviews, editorials or other opinion pieces, or case series of fewer than 4 patients or if they contained only adult subjects or nonhuman data. The remaining articles were systematically evaluated, and data were abstracted by 2 independent reviewers using standardized tools. For topics that lacked published evidence, we interviewed experts in the field. RESULTS: The initial search resulted in 719 articles. Twenty-six met inclusion criteria. The results of several small studies suggested that screening for SCID is possible. Interviews revealed that 2 states have begun pilot screening programs. Evidence from large case series indicates that children receiving early stem-cell transplant for SCID have improved outcomes compared with children who were treated later. There is some inconclusive evidence regarding the need for donor-recipient matching and use of pretransplant chemotherapy. Few data on the cost-effectiveness of a SCID-screening program. CONCLUSIONS: Evidence indicates the benefits of early treatment of SCID and the possibility of population-based newborn screening. Better information on optimal treatment and the costs of treatment and screening would benefit policy makers deciding among competing health care priorities.			2010				470
Screening for child abuse at emergency departments: a systematic review		Louwers, E. C., Affourtit, M. J., Moll, H. A., de Koning, H. J. and Korfage, I. J.				archives of disease in childhood	archives of disease in childhood	INTRODUCTION: Child abuse is a serious problem worldwide and can be difficult to detect. Although children who experience the consequences of abuse will probably be treated at an emergency department, detection rates of child abuse at emergency departments remain low. OBJECTIVE: To identify effective interventions applied at emergency departments that significantly increase the detection rate of confirmed cases of child abuse. DESIGN: This review was carried out according to the Cochrane Handbook. Two reviewers individually searched PubMed, the Cochrane Library, EMBASE, Web of Science and CINAHL for papers that met the inclusion criteria. RESULTS: Fifteen papers describing interventions were selected and reviewed; four of these were finally included and assessed for quality. In these studies the intervention consisted of a checklist of indicators of risk for child abuse. After implementation, the rate of detected cases of suspected child abuse increased by 180% (weighted mean in three studies). The number of confirmed cases of child abuse, reported in two out of four studies, showed no significant increase. CONCLUSIONS: Interventions at emergency departments to increase the detection rate of cases of confirmed child abuse are scarce in the literature. Past study numbers and methodology have been inadequate to show conclusive evidence on effectiveness.			2010				482
Effects on coronary heart disease of increasing polyunsaturated fat in place of saturated fat: a systematic review and meta-analysis of randomized controlled trials		Mozaffarian, D., Micha, R. and Wallace, S.				plos medicine	plos medicine	BACKGROUND: Reduced saturated fat (SFA) consumption is recommended to reduce coronary heart disease (CHD), but there is an absence of strong supporting evidence from randomized controlled trials (RCTs) of clinical CHD events and few guidelines focus on any specific replacement nutrient. Additionally, some public health groups recommend lowering or limiting polyunsaturated fat (PUFA) consumption, a major potential replacement for SFA. METHODS AND FINDINGS: We systematically investigated and quantified the effects of increased PUFA consumption, as a replacement for SFA, on CHD endpoints in RCTs. RCTs were identified by systematic searches of multiple online databases through June 2009, grey literature sources, hand-searching related articles and citations, and direct contacts with experts to identify potentially unpublished trials. Studies were included if they randomized participants to increased PUFA for at least 1 year without major concomitant interventions, had an appropriate control group, and reported incidence of CHD (myocardial infarction and/or cardiac death). Inclusions/exclusions were adjudicated and data were extracted independently and in duplicate by two investigators and included population characteristics, control and intervention diets, follow-up duration, types of events, risk ratios, and SEs. Pooled effects were calculated using inverse-variance-weighted random effects meta-analysis. From 346 identified abstracts, eight trials met inclusion criteria, totaling 13,614 participants with 1,042 CHD events. Average weighted PUFA consumption was 14.9% energy (range 8.0%-20.7%) in intervention groups versus 5.0% energy (range 4.0%-6.4%) in controls. The overall pooled risk reduction was 19% (RR = 0.81, 95% confidence interval [CI] 0.70-0.95, p = 0.008), corresponding to 10% reduced CHD risk (RR = 0.90, 95% CI = 0.83-0.97) for each 5% energy of increased PUFA, without evidence for statistical heterogeneity (Q-statistic p = 0.13; I(2) = 37%). Meta-regression identified study duration as an independent determinant of risk reduction (p = 0.017), with studies of longer duration showing greater benefits. CONCLUSIONS: These findings provide evidence that consuming PUFA in place of SFA reduces CHD events in RCTs. This suggests that rather than trying to lower PUFA consumption, a shift toward greater population PUFA consumption in place of SFA would significantly reduce rates of CHD. Please see later in the article for the Editors' Summary.			2010				575
Therapeutic value of zinc supplementation in acute and persistent diarrhea: a systematic review		Patel, A., Mamtani, M., Dibley, M. J., Badhoniya, N. and Kulkarni, H.				plos one	plos one	BACKGROUND: For over a decade, the importance of zinc in the treatment of acute and persistent diarrhea has been recognized. In spite of recently published reviews, there remain several unanswered questions about the role of zinc supplementation in childhood diarrhea in the developing countries. Our study aimed to assess the therapeutic benefits of zinc supplementation in the treatment of acute or persistent diarrhea in children, and to examine the causes of any heterogeneity of response to zinc supplementation. METHODS AND FINDINGS: EMBASE, MEDLINE and CINAHL databases were searched for published reviews and meta-analyses on the use of zinc supplementation for the prevention and treatment of childhood diarrhea. Additional RCTs published following the meta-analyses were also sought. The reviews and published RCTs were qualitatively mapped followed by updated random-effects meta-analyses, subgroup meta-analyses and meta-regression to quantify and characterize the role of zinc supplementation with diarrhea-related outcomes. We found that although there was evidence to support the use of zinc to treat diarrhea in children, there was significant unexplained heterogeneity across the studies for the effect of zinc supplementation in reducing important diarrhea outcomes. Zinc supplementation reduced the mean duration of diarrhea by 19.7% but had no effect on stool frequency or stool output, and increased the risk of vomiting. Our subgroup meta-analyses and meta-regression showed that age, stunting, breast-feeding and baseline zinc levels could not explain the heterogeneity associated with differential reduction in the mean diarrheal duration. However, the baseline zinc levels may not be representative of the existing zinc deficiency state. CONCLUSIONS: Understanding the predictors of zinc efficacy including the role of diarrheal disease etiology on the response to zinc would help to identify the populations most likely to benefit from supplementation. To improve the programmatic use of zinc, further evaluations of the zinc salts used, the dose, the frequency and duration of supplementation, and its acceptability are required. The significant heterogeneity of responses to zinc suggests the need to revisit the strategy of universal zinc supplementation in the treatment children with acute diarrhea in developing countries.			2010				636
