"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"1","1953 - [The behavior of corneal reflexes in acute ischemia and anoxia in the rabbit brain]","F. O. Drenckhahn",1953,"[The behavior of corneal reflexes in acute ischemia and anoxia in the rabbit brain]","Pflugers Arch Gesamte Physiol Menschen Tiere","257","6","436-53",NA,NA,15091
"2","1953 - A contribution to the study of pathogenesis of the pupillary changes in severe cerebral apoplexy and in chronic hemiplegia. A. Clinico-pathological studies on anisocoria in severe apoplexy attack. B. Clinico-pathological studies on anisocoria in chronic hemiplegia. C. On the latent anisocoria in chronic hemiplegia","S. Okinaka, H. Nakamura, T. Tsubaki, Y. Kuroiwa and Y. Toyokura",1953,"A contribution to the study of pathogenesis of the pupillary changes in severe cerebral apoplexy and in chronic hemiplegia. A. Clinico-pathological studies on anisocoria in severe apoplexy attack. B. Clinico-pathological studies on anisocoria in chronic hemiplegia. C. On the latent anisocoria in chronic hemiplegia","Folia Psychiatr Neurol Jpn","7","2","149-60",NA,NA,15092
"3","1958 - Effects of raunescine and isoraunescine on behaviour and on the 5-hydroxytryptamine and noradrenaline contents of brain","M. K. Paasonen and P. B. Dews",1958,"Effects of raunescine and isoraunescine on behaviour and on the 5-hydroxytryptamine and noradrenaline contents of brain","Br J Pharmacol Chemother","13","1","84-8",NA,"PMC1481690",15096
"4","1958 - Effects of septal and amygdaloid lesions on emotional behavior and conditioned avoidance responses in the rat","F. A. King",1958,"Effects of septal and amygdaloid lesions on emotional behavior and conditioned avoidance responses in the rat","J Nerv Ment Dis","126","1","57-63",NA,NA,15097
"5","1963 - SOME METABOLIC CHANGES IN ISCHEMIC CEREBRAL CORTEX OF RATS DURING EEG DEPRESSION","M. Ruscak and E. Macejova",1963,"SOME METABOLIC CHANGES IN ISCHEMIC CEREBRAL CORTEX OF RATS DURING EEG DEPRESSION","Physiol Bohemoslov","12",NA,"570-6",NA,NA,15102
"6","1965 - Acquisition of classical conditioned defensive responses in goats subjected to cerebral ischaemia","B. A. Baldwin and S. S. Soltysik",1965,"Acquisition of classical conditioned defensive responses in goats subjected to cerebral ischaemia","Nature","206","988","1011-1013",NA,NA,15103
"7","1968 - Behavior of cerebral spinal fluid hydrogen ion during hemorrhagic and endotoxin shock","H. B. Staehelin and L. L. Smith",1968,"Behavior of cerebral spinal fluid hydrogen ion during hemorrhagic and endotoxin shock","Surgical forum","19",NA,"43588",NA,NA,15105
"8","1969 - Profound selective cooling and ischemia of primate brain without pump or oxygenator","R. J. White, L. A. Massopust, Jr., L. R. Wolin, N. Taslitz and D. Yashon",1969,"Profound selective cooling and ischemia of primate brain without pump or oxygenator","Surgery","66","1","224-32",NA,NA,15107
"9","1970 - [Relationship between the functions of the cerebral hemisphere and brain, especially the medulla oblongata, during anoxia and ischemia of the brain]","M. Shimamura, M. Aoki, B. Fujimori and F. Motokizawa",1970,"[Relationship between the functions of the cerebral hemisphere and brain, especially the medulla oblongata, during anoxia and ischemia of the brain]","Shinkei Kenkyu No Shimpo","14","1","64-74",NA,NA,15110
"10","1972 - Behavioral effects of arrest of cerebral circulation in the Rhesus monkey","L. R. Wolin and L. C. Massopust Jr",1972,"Behavioral effects of arrest of cerebral circulation in the Rhesus monkey","Experimental neurology","34","2","323-330",NA,NA,15113
