Title	First Author First Name	First Author Surname	Corresponding Author First Name	Corresponding Author Surname	Corresponding Author Order	Publication Name	Alternate Name	Abstract	Url	Author Address	Year	DOI	Reference Type	PDF Relative Path	Keywords
Low-molecular-weight heparin thromboprophylaxis in medical-surgical critically ill patients: a systematic review		Ribic, C., Lim, W., Cook, D. and Crowther, M.				journal of critical care	journal of critical care	PURPOSE: The study aimed to systematically review the effect of low-molecular-weight heparin (LMWH) thromboprophylaxis in medical-surgical critically ill patients in the intensive care unit. METHODS: In duplicate and independently, we searched for relevant articles using MEDLINE and EMBASE; we also contacted experts and reviewed reference lists. For included studies, we abstracted data on study and patient characteristics, LMWH use, clinical outcomes (venous thromboembolism [VTE], bleeding, and mortality), laboratory outcomes (anti-Xa levels and thrombocytopenia), and methodological quality. RESULTS: We included 8 prospective cohort studies and 1 randomized trial, with a total of 629 patients. Eight studies (n = 406 patients) reported anti-Xa levels and only 3 studies (n = 240 patients) reported on at least one clinical outcome. Low-molecular-weight heparin does not appear to bioaccumulate based on repeated measurements of trough anti-Xa levels. Thrombocytopenia occurred in 9.3% of patients receiving LMWH; heparin-induced thrombocytopenia was not reported. In studies reporting clinical outcomes, the frequency of VTE in patients receiving LMWH ranged from 5.1% to 15.5%, bleeding complications ranged from 7.2% to 23.1%, and mortality ranged from 1.4% to 7.4%. CONCLUSIONS: Low-molecular-weight heparin may be effective for thromboprophylaxis in medical-surgical critically ill patients, but no trials have compared LMWH against an alternative active strategy; thus, LMWH cannot be recommended routinely. Trials testing LMWH thromboprophylaxis are required, which examine patient-important end points such as the incidence and clinical consequences of VTE, bleeding, heparin-induced thrombocytopenia, and mortality.			2009				690
Evidence-based systematic review: Oropharyngeal dysphagia behavioral treatments. Part II -- Impact of dysphagia treatment on normal swallow function		Wheeler-Hegland, K., Ashford, J., Frymark, T., McCabe, D., Mullen, R., Musson, N., Hammond, C., Schooling, T. and Malcom Randall Department of Veterans Affairs Medical Center, Gainesville F. L.				journal of rehabilitation research & development	journal of rehabilitation research & development	This article is the second in a series of evidencebased systematic reviews. Data reported cover the impact of dysphagia behavioral interventions on swallow physiology in healthy adults. The behavioral treatments investigated were three postural interventionsDLside lying, chin tuck, and head rotationDLand four swallowing maneuversDLeffortful swallow, the Mendelsohn maneuver, supraglottic swallow, and supersupraglottic swallow. A systematic search of the dysphagia literature was conducted in 14 electronic databases. Seventeen studies meeting the inclusion criteria were evaluated for methodological quality with the American Speech-Language-Hearing Association's levels-of-evidence scheme and were characterized by research stage (i.e., exploratory, efficacy, effectiveness, costbenefit/ public policy research). Effect sizes were calculated when possible. All studies were exploratory research ranging from two to five of seven possible quality markers. The majority of studies (8 of 17) investigated effortful swallow. Three studies examined the Mendelsohn maneuver, chin tuck, supraglottic swallow, and super-supraglottic swallow and two studies addressed head rotation. No study addressed side lying. For nondisordered populations, the existing evidence demonstrates differential effects of postural changes and maneuvers on swallowing physiology. Some effects reinforced existing recommendations for the applications of the interventions, while others suggested new ways that the treatments may impact swallow function. Avenues for future research are suggested. Key words: chin-tuck posture, dysphagia, effortful swallow maneuver, evidence-based practice, evidence-based systematic review, head-rotation posture, Mendelsohn maneuver, rehabilitation, side-lying posture, super-supraglottic swallow maneuver, supraglottic swallow maneuver, treatment.			2009				888
Technologically-assisted behaviour change: a systematic review of studies of novel technologies for the management of chronic illness		Rosser, B. A., Vowles, K. E., Keogh, E., Eccleston, C. and Mountain, G. A.				journal of telemedicine and telecare	journal of telemedicine and telecare	A systematic review was conducted to investigate the use of technology in achieving behaviour change in chronic illness. The areas reviewed were: (1) methods employed to adapt traditional therapy from a face-to-face medium to a computer-assisted platform; (2) targets of behaviour change; and (3) level of human (e.g. therapist) involvement. The initial literature search produced 2032 articles. A total of 45 articles reporting 33 separate interventions met the inclusion/exclusion criteria and were reviewed in detail. The majority of interventions reported a theoretical basis, with many arising from a cognitive-behavioural framework. There was a wide range of therapy content. Therapist involvement was reported in 73% of the interventions. A common problem was high participant attrition, which may have been related to reduced levels of human interaction. Instigating successful behaviour change through technological interventions poses many difficulties. However, there are potential benefits of delivering therapy in this way. For people with long-term health conditions, technological self-management systems could provide a practical method of understanding and monitoring their condition, as well as therapeutic guidance to alter maladaptive behaviour.			2009				708
Frequency modulation (FM) system in auditory processing disorder: an evidence-based practice?		Lemos, I. C., Jacob, R. T., Gejão, M. G., Bevilacqua, M. C., Feniman, M. R. and Ferrari, D. V.				pró-fono : revista de atualização científica	pró-fono : revista de atualização científica	BACKGROUND: use of frequency modulation (FM) system in auditory processing disorder. AIM: to verify the existence of scientific evidence confirming the effectiveness of personal FM systems in the treatment of central auditory processing disorders (APD). For this purpose a systematic review of the literature was made, using data found in electronic databases (Medline, Lilacs and Cochrane library) as well as on the internet. The articles retrieved were analyzed according to the CONSORT statement and then classified by their evidence level. CONCLUSION: the search resulted in 1,589 references out of which only 19 met the inclusion criteria. All of the analyzed articles were classified as having low level of evidence (expert opinion or case studies). Strong scientific evidence supporting the use of personal FM systems for APD intervention was not found. Since such device is frequently recommended for the treatment of APD, it becomes essential to carry out studies with high scientific evidence that could safely guide clinical decision making on this subject.			2009				455
Quality improvement strategies for children with asthma: a systematic review		Bravata, D. M., Gienger, A. L., Holty, J. E., Sundaram, V., Khazeni, N., Wise, P. H., McDonald, K. M. and Owens, D. K.				archives of pediatrics & adolescent medicine	archives of pediatrics & adolescent medicine	OBJECTIVE: To evaluate the evidence that quality improvement (QI) strategies can improve the processes and outcomes of outpatient pediatric asthma care. DATA SOURCES: Cochrane Effective Practice and Organisation of Care Group database (January 1966 to April 2006), MEDLINE (January 1966 to April 2006), Cochrane Consumers and Communication Group database (January 1966 to May 2006), and bibliographies of retrieved articles. STUDY SELECTION: Randomized controlled trials, controlled before-after trials, or interrupted time series trials of English-language QI evaluations. INTERVENTIONS: Must have included 1 or more QI strategies for the outpatient management of children with asthma. MAIN OUTCOME MEASURES: Clinical status (eg, spirometric measures); functional status (eg, days lost from school); and health services use (eg, hospital admissions). RESULTS: Seventy-nine studies met inclusion criteria: 69 included at least some component of patient education, self-monitoring, or self-management; 13 included some component of organizational change; and 7 included provider education. Self-management interventions increased symptom-free days by approximately 10 days/y (P = .02) and reduced school absenteeism by about 0.1 day/mo (P = .03). Interventions of provider education and those that incorporated organizational changes were likely to report improvements in medication use. Quality improvement interventions that provided multiple educational sessions, had longer durations, and used combinations of instructional modalities were more likely to result in improvements for patients than interventions lacking these characteristics. CONCLUSIONS: A variety of QI interventions improve the outcomes and processes of care for children with asthma. Use of similar outcome measures and thorough descriptions of interventions would advance the study of QI for pediatric asthma care.			2009				94
Routine use of oxygen in the treatment of myocardial infarction: systematic review		Wijesinghe, M., Perrin, K., Ranchord, A., Simmonds, M., Weatherall, M. and Beasley, R.				heart (british cardiac society)	heart (british cardiac society)	CONTEXT: International guidelines recommend the routine use of oxygen therapy in the treatment of myocardial infarction (MI). OBJECTIVE: To undertake a systematic review and meta-analysis of randomised placebo-controlled trials of oxygen therapy in MI. DATA SOURCES: Medline, Cochrane Database of Systematic Reviews, Cochrane Central Register of Controlled Trials, EMBASE and CINHAL. STUDY SELECTION: Randomised placebo-controlled trials of oxygen therapy in MI. DATA EXTRACTION: The primary clinical outcome was mortality. RESULTS: Two of 51 potential studies met the inclusion criteria. The one study with substantive clinical outcome data reported that in uncomplicated MI, high-flow oxygen was associated with a non-significant increased risk of death (risk ratio 2.9, 95% CI 0.8 to 10.3, p = 0.08) and a greater serum aspartate aminotransferase level (difference 19.2 IU/ml, 95% CI 0 to 38.4, p = 0.05) than room air. CONCLUSION: The limited evidence that does exist suggests that the routine use of high-flow oxygen in uncomplicated MI may result in a greater infarct size and possibly increase the risk of mortality.			2009				895
Instruments for the detection of depressive symptoms in people with intellectual disabilities: a systematic review		Perez-Achiaga, N., Nelson, S., Hassiotis, A. and Redbridge Learning Disability Team, U. K. Natalia Perez-Achiaga redbridge gov uk				journal of intellectual disabilities	journal of intellectual disabilities	Affective disorders, particularly depression, are common in adults with intellectual disabilities. However the detection of these disorders is hindered by the varied presentation of depressive symptoms across the range of intellectual disability. We undertook a systematic review of the available English-language diagnostic instruments for depressive disorders for adults with all levels of intellectual disability. We appraised the studies based on the instruments' psychometric properties, sensitivity and specificity. We included 21 of 28 identified studies which contained original data on validity and reliability; the ;gold standard' ranged from clinical opinion to other established instruments, some of which had limited validation in people with intellectual disability. In view of the benefits of psychological treatments for common mental disorders, it is important to develop instruments to be used in monitoring cognitive as well as behavioural outcomes for people with intellectual disability and depressive disorders.			2009				646
High-dose vitamin K supplementation reduces fracture incidence in postmenopausal women: a review of the literature		Iwamoto, J., Sato, Y., Takeda, T. and Matsumoto, H.				nutrition research (new york, n.y.)	nutrition research (new york, n.y.)	"Although systematic review and meta-analysis of randomized controlled trials (RCTs) have concluded that vitamin K is effective in preventing fractures, the effect of vitamin K on the skeleton remains a matter of controversy. The objective of the present review of the literature was to evaluate the effect of vitamin K supplementation on the skeleton of postmenopausal women. PubMed was used to search the reliable literature for RCTs by using the search terms ""vitamin K(1) or vitamin K(2),"" ""bone,"" and ""postmenopausal women"" and the following inclusion criteria: approximately 50 or more subjects per group and study period of 2 years or longer. Seven RCTs met the inclusion criteria. The results of these RCTs showed that vitamin K(1) and vitamin K(2) supplementation reduced serum undercarboxylated osteocalcin levels regardless of dose but that it had inconsistent effects on serum total osteocalcin levels and no effect on bone resorption. Despite the lack of a significant change or the occurrence of only a modest increase in bone mineral density, high-dose vitamin K(1) and vitamin K(2) supplementation improved indices of bone strength in the femoral neck and reduced the incidence of clinical fractures. The review of the reliable literature confirmed the effect of vitamin K(1) and vitamin K(2) supplementation on the skeleton of postmenopausal women mediated by mechanisms other than bone mineral density and bone turnover."			2009				354
Circulating matrix metalloproteinase-9 concentrations and abdominal aortic aneurysm presence: a meta-analysis		Takagi, H., Manabe, H., Kawai, N., Goto, S. N. and Umemoto, T.				interactive cardiovascular and thoracic surgery	interactive cardiovascular and thoracic surgery	To summarize the present evidence for an association between matrix metalloproteinase-9 (MMP-9) and abdominal aortic aneurysm (AAA) presence, we performed a meta-analysis of case-control studies that compared circulating MMP-9 concentrations between patients with AAA and subjects without AAA. MEDLINE database was searched to identify all case-control studies. For each study, data regarding serum or plasma MMP-9 concentrations in both the AAA and control groups were used to generate standardized mean differences (SMDs) and 95% confidence intervals (CIs). Study-specific estimates were combined using inverse variance-weighted average of logarithmic SMDs in both fixed- and random-effects models. Our search identified eight eligible studies including 580 patients with AAA and 258 subjects without AAA. Pooled analysis demonstrated significantly higher circulating MMP-9 concentrations in the AAA group than those in the control group in random-effect models (SMD, 0.70; 95% CI, 0.23-1.17; P=0.004). There was significant study heterogeneity of results (P<0.00001) but no evidence of significant publication bias (P=0.1376). We found that, based on a systematic review and meta-analysis, circulating MMP-9 concentrations are higher in patients with AAA than those in subjects without AAA. Higher circulating MMP-9 concentrations are associated with AAA presence.			2009				798
The role of lactobacillus probiotics in the treatment or prevention of urogenital infections--a systematic review		Abad, C. L. and Safdar, N.				journal of chemotherapy (florence, italy)	journal of chemotherapy (florence, italy)	Probiotics are increasingly being used to treat and prevent urogenital infections. However, a critical assessment of their efficacy in major urogenital infections is lacking. We report the results of a systematic review to determine the efficacy of probiotics for prevention or treatment of three major urogenital infections: bacterial vaginosis, vulvovaginal candidiasis, and urinary tract infection. Using multiple computerized databases, we extracted data from clinical trials using a lactobacillus-containing preparation to either prevent or treat a urogenital infection. Of 25 included studies, 18 studies used lactobacillus preparations for treatment or prevention of urogenital infections and seven studies focused solely on vaginal colonization. Four studies included patients with vaginal candidiasis, five included patients with urinary tract infections, and eight included patients with bacterial vaginosis. One included several types of genitourinary infections. Overall, lactobacilli were beneficial for the treatment of patients with bacterial vaginosis. No clear benefit was seen for candidiasis or urinary tract infection. Studies were heterogeneous, with some limited by a small population size. In conclusion, the use of certain lactobacillus strains such as L. rhamnosus GR-1 and L. reuteri for prevention and treatment of recurrent urogenital infection is promising, especially for recurrent bacterial vaginosis. Scant data on the use of probiotics for urinary tract infection and vulvovaginal candidiasis precludes definitive recommendations. Further research and larger studies on types of lactobacilli strains, dosage of lactobacilli, optimal route and vehicle of administration are needed.			2009				2
