Title	First Author First Name	First Author Surname	Corresponding Author First Name	Corresponding Author Surname	Corresponding Author Order	Publication Name	Alternate Name	Abstract	Url	Author Address	Year	DOI	Reference Type	PDF Relative Path	Keywords
"Timing matters in hip fracture surgery: patients operated within 48 hours have better outcomes. A meta-analysis and meta-regression of over 190,000 patients"		"Moja, L., Piatti, A., Pecoraro, V., Ricci, C., Virgili, G., Salanti, G., Germagnoli, L., Liberati, A. and Banfi, G."				plos one	plos one	"BACKGROUND: To assess the relationship between surgical delay and mortality in elderly patients with hip fracture. Systematic review and meta-analysis of retrospective and prospective studies published from 1948 to 2011. Medline (from 1948), Embase (from 1974) and CINAHL (from 1982), and the Cochrane Library. Odds ratios (OR) and 95% confidence intervals for each study were extracted and pooled with a random effects model. Heterogeneity, publication bias, bayesian analysis, and meta-regression analyses were done. Criteria for inclusion were retro- and prospective elderly population studies, patients with operated hip fractures, indication of timing of surgery and survival status. METHODOLOGY/PRINCIPAL FINDINGS: There were 35 independent studies, with 191,873 participants and 34,448 deaths. The majority considered a cut-off between 24 and 48 hours. Early hip surgery was associated with a lower risk of death (pooled odds ratio (OR) 0.74, 95% confidence interval (CI) 0.67 to 0.81; P<0.000) and pressure sores (0.48, 95% CI 0.38 to 0.60; P<0.000). Meta-analysis of the adjusted prospective studies gave similar results. The bayesian probability predicted that about 20% of future studies might find that early surgery is not beneficial for decreasing mortality. None of the confounders (e.g. age, sex, data source, baseline risk, cut-off points, study location, quality and year) explained the differences between studies. CONCLUSIONS/SIGNIFICANCE: Surgical delay is associated with a significant increase in the risk of death and pressure sores. Conservative timing strategies should be avoided. Orthopaedic surgery services should ensure the majority of patients are operated within one or two days."			2012				2482
Disease-modifying drugs for multiple sclerosis in pregnancy: A systematic review		"Lu, E., Wang, B. W., Guimond, C., Synnes, A., Sadovnick, D. and Tremlett, H."				neurology	neurology	"OBJECTIVE: To systematically review the literature regarding safety of disease-modifying drug (DMD) use during pregnancy on perinatal and developmental outcomes in offspring of patients with multiple sclerosis (MS). METHODS: A PubMed and EMBASE search up to February 2012 was conducted with a manual search of references from relevant articles. Selected studies were evaluated using internationally accepted criteria. RESULTS: Fifteen studies identified 761 interferon [beta]-, 97 glatiramer acetate-, and 35 natalizumab-exposed pregnancies. Study quality ranged from poor to good; no study was rated excellent. Small sample sizes limited most studies. Compared with data for unexposed pregnancies, fair- to good-quality prospective cohort studies reported that interferon [beta] exposure was associated with lower mean birth weight, shorter mean birth length, and preterm birth (<37 weeks), but not low birth weight (<2,500 g), cesarean delivery, congenital anomaly (including malformation), or spontaneous abortion. Fewer studies of fair quality were available for glatiramer acetate and natalizumab. Glatiramer acetate exposure was not associated with lower mean birth weight, congenital anomaly, preterm birth, or spontaneous abortion. Natalizumab exposure did not appear to be associated with shorter mean birth length, lower mean birth weight, or lower mean gestational age. No studies examined mitoxantrone or fingolimod exposure. One study of paternal DMD use during conception found no effect on gestational age or birth weight. Few studies examined longer-term developmental outcomes. CONCLUSION: Further studies are needed to determine the potential risks associated with preconceptional and in utero DMD exposure in patients with MS. Discontinuation of DMDs before conception is still recommended."			2012				1635
Comparison of indacaterol with tiotropium or twice-daily long-acting [beta] -agonists for stable COPD: a systematic review		"Rodrigo, G. J. and Neffen, H."				chest	chest	"BACKGROUND: Bronchodilators are central to the symptomatic management of patients with COPD.Previous data have shown that inhaled indacaterol improved numerous clinical outcomes over placebo. METHODS: This systematic review explored the efficacy and safety of indacaterol in comparison with tiotropium or bid long-acting [beta] 2 -agonists (TD-LABAs) for treatment of moderate to severe COPD. Randomized controlled trials were identified after a search of different databases of published and unpublished trials. RESULTS: Five trials (5,920 participants) were included. Compared with tiotropium, indacaterol showed statistically and clinically significant reductions in the use of rescue medication and dyspnea(43% greater likelihood of achieving a minimal clinically important difference [MCID] in the transitional dyspnea index [TDI]; number needed to treat for benefit [NNTB] 5 10). Additionally,the MCID in health status was more likely to be achieved with indacaterol than with tiotropium (OR = 1.43; 95% CI, 1.22-1.68; P = .00001; [NNTB ]= 10). Trough FEV 1 was significantly higher at the end of treatment with indacaterol than with TD-LABAs (80 mL, P = .00001). Similarly, indacaterol signifi cantly improved dyspnea (61% greater likelihood of achieving an MCID in TDI, P = .008) and health status (21% greater likelihood of achieving an MCID in St. George's Respiratory Questionnaire, P 5 .04) than TD-LABA. Indacaterol showed similar levels of safety and tolerability to both comparators. CONCLUSIONS: Available evidence suggests that indacaterol may prove useful as an alternative to tiotropium or TD-LABA due to its effects on health status, dyspnea, and pulmonary function."			2012				1324
Yoga for breast cancer patients and survivors: a systematic review and meta-analysis		"Cramer, H., Lange, S., Klose, P., Paul, A. and Dobos, G."				bmc cancer	bmc cancer	"BACKGROUND: Many breast cancer patients and survivors use yoga to cope with their disease. The aim of this review was to systematically assess and meta-analyze the evidence for effects of yoga on health-related quality of life and psychological health in breast cancer patients and survivors. METHODS: MEDLINE, PsycInfo, EMBASE, CAMBASE, and the Cochrane Library were screened through February 2012. Randomized controlled trials (RCTs) comparing yoga to controls were analyzed when they assessed health-related quality of life or psychological health in breast cancer patients or survivors. Risk of bias was assessed using the Cochrane risk of bias tool. Standardized mean differences (SMD) and 95% confidence intervals (CI) were calculated. RESULTS: Twelve RCTs with a total of 742 participants were included. Seven RCTs compared yoga to no treatment; 3 RCTs compared yoga to supportive therapy; 1 RCT compared yoga to health education; and 1 RCT compared a combination of physiotherapy and yoga to physiotherapy alone. Evidence was found for short-term effects on global health-related quality of life (SMD = 0.62 [95% CI: 0.04 to 1.21]; P = 0.04), functional (SMD = 0.30 [95% CI: 0.03 to 0.57), social (SMD = 0.29 [95% CI: 0.08 to 0.50]; P < 0.01), and spiritual well-being (SMD = 0.41 [95% CI: 0.08; 0.74]; P = 0.01). These effects were, however, only present in studies with unclear or high risk of selection bias. Short-term effects on psychological health also were found: anxiety (SMD = -1.51 [95% CI: -2.47; -0.55]; P < 0.01), depression (SMD = -1.59 [95% CI: -2.68 to -0.51]; P < 0.01), perceived stress (SMD?=?-1.14 [95% CI:-2.16; -0.12]; P = 0.03), and psychological distress (SMD = -0.86 [95% CI:-1.50; -0.22]; P < 0.01). Subgroup analyses revealed evidence of efficacy only for yoga during active cancer treatment but not after completion of active treatment. CONCLUSIONS: This systematic review found evidence for short-term effects of yoga in improving psychological health in breast cancer patients. The short-term effects on health-related quality of life could not be clearly distinguished from bias. Yoga can be recommended as an intervention to improve psychological health during breast cancer treatment."			2012				1354
The impact of health insurance in Africa and Asia: a systematic review		"Spaan, E., Mathijssen, J., Tromp, N., McBain, F., ten Have, A. and Baltussen, R."				bulletin of the world health organization	bulletin of the world health organization	"Objective To evaluate the impact of health insurance on resource mobilization, financial protection, service utilization, quality of care, social inclusion and community empowerment in low- and lower-middle-income countries in Africa and Asia. Methods A systematic search for randomized controlled trials, quasi-experimental and observational studies published before the end of 2011 was conducted in 20 literature databases, reference lists of relevant studies, web sites and the grey literature. Study quality was assessed with a quality grading protocol. Findings Inclusion criteria were met by 159 studies - 68 in Africa and 91 in Asia. Most African studies reported on community-based health insurance (CBHI) and were of relatively high quality; social health insurance (SHI) studies were mostly Asian and of medium quality. Only one Asian study dealt with private health insurance (PHI). Most studies were observational; four had randomized controls and 20 had a quasi-experimental design. Financial protection, utilization and social inclusion were far more common subjects than resource mobilization, quality of care or community empowerment. Strong evidence shows that CBHI and SHI improve service utilization and protect members financially by reducing their out-of-pocket expenditure, and that CBHI improves resource mobilization too. Weak evidence points to a positive effect of both SHI and CBHI on quality of care and social inclusion. The effect of SHI and CBHI on community empowerment is inconclusive. Findings for PHI are inconclusive in all domains because of insufficient studies. Conclusion Health insurance offers some protection against the detrimental effects of user fees and a promising avenue towards universal health-care coverage."			2012				1825
Adverse events of pirfenidone for the treatment of pulmonary fibrosis: a meta-analysis of randomized controlled trials		"Jiang, C., Huang, H., Liu, J., Wang, Y., Lu, Z. and Xu, Z."				plos one	plos one	"BACKGROUND: Pirfenidone (PFD) is a novel antifibrotic agent approved for patients with pulmonary fibrosis. However, there are concerns regarding toxicity of the drug. In this meta-analysis, we analyzed the adverse events (AEs) of PFD for the treatment of pulmonary fibrosis. METHODS: We performed a systematic search of PubMed, Embase, ClinicalTrials.gov, and Cochrane Central Register of Controlled Trials for trials published between January 1999 and October 2011. Data extracted from literature were analyzed with Review manager 5.0.24. RESULTS: The results of six randomized controlled trials (1073 participants) revealed that the number of individuals who discontinued PFD therapy was significantly higher than patients receiving placebo. The PFD group had a significantly higher rate of gastrointestinal (nausea, dyspepsia, diarrhea, and anorexia), neurological (dizziness and fatigue), and dermatological (photosensitivity and rash) AEs compared to the placebo group. CONCLUSIONS: PFD used for the treatment of pulmonary fibrosis is not so safe or well-tolerated. Notably, gastrointestinal, neurological and dermatological adverse effects were more common in patients receiving PFD therapy, and therefore appropriate precaution is needed."			2012				2343
Visual acuity improvements after implantation of toric intraocular lenses in cataract patients with astigmatism: a systematic review		"Agresta, B., Knorz, M. C., Donatti, C. and Jackson, D."				bmc ophthalmology	bmc ophthalmology	"BACKGROUND: Cataracts are a common and significant cause of visual impairment globally. We aimed to evaluate uncorrected distance visual acuity (UDVA) as an outcome in treating astigmatic cataract patients to assist clinicians or ophthalmologists in their decision making process regarding available interventions. METHODS: Medline, Embase and Evidence Based Reviews were systematically reviewed to identify relevant studies reporting changes in UDVA, UIVA and UNVA after cataract surgery in presbyopic patients. Strict inclusion/exclusion criteria were used to exclude any non-relevant studies. Relevant outcomes (UDVA, UIVA and UNVA) were identified from the studies retrieved through the systematic review process. RESULTS: The systematic review identified 11 studies which reported UCVA. All 11 studies reported UDVA. Four brands of toric intraocular lenses (IOLs) were reported in these studies. All studies identified in the literature search reported improvements in UDVA following surgical implant of a toric IOL. The largest improvements in VA were reported using the Human Optics MicroSil toric IOL (0.74 LogMAR, UDVA) and the smallest improvements were also reported using the Human Optics MicroSil toric IOL (0.23 LogMAR, UDVA) in a different study. CONCLUSIONS: The results of this systematic review showed the aggregate of studies reporting a beneficial increase in UDVA with the use of toric IOLs in cataract patients with astigmatism."			2012				1179
Effectiveness of cognitive behavioral therapy for depression in patients receiving disability benefits: a systematic review and individual patient data meta-analysis		"Ebrahim, S., Montoya, L., Truong, W., Hsu, S., Kamal El Din, M., Carrasco-Labra, A., Busse, J. W., Walter, S. D., Heels-Ansdell, D., Couban, R., Patelis-Siotis, I., Bellman, M., de Graaf, L. E., Dozois, D. J., Bieling, P. J. and Guyatt, G. H."				plos one	plos one	"OBJECTIVES: To systematically summarize the randomized trial evidence regarding the relative effectiveness of cognitive behavioural therapy (CBT) in patients with depression in receipt of disability benefits in comparison to those not receiving disability benefits. DATA SOURCES: All relevant RCTs from a database of randomized controlled and comparative studies examining the effects of psychotherapy for adult depression (http://www.evidencebasedpsychotherapies.org), electronic databases (MEDLINE, EMBASE, PSYCINFO, AMED, CINAHL and CENTRAL) to June 2011, and bibliographies of all relevant articles. STUDY ELIGIBILITY CRITERIA, PARTICIPANTS AND INTERVENTION: Adult patients with major depression, randomly assigned to CBT versus minimal/no treatment or care-as-usual. STUDY APPRAISAL AND SYNTHESIS METHODS: Three teams of reviewers, independently and in duplicate, completed title and abstract screening, full text review and data extraction. We performed an individual patient data meta-analysis to summarize data. RESULTS: Of 92 eligible trials, 70 provided author contact information; of these 56 (80%) were successfully contacted to establish if they captured receipt of benefits as a baseline characteristic; 8 recorded benefit status, and 3 enrolled some patients in receipt of benefits, of which 2 provided individual patient data. Including both patients receiving and not receiving disability benefits, 2 trials (227 patients) suggested a possible reduction in depression with CBT, as measured by the Beck Depression Inventory, mean difference [MD] (95% confidence interval [CI])?=?-2.61 (-5.28, 0.07), p?=?0.06; minimally important difference of 5. The effect appeared larger, though not significantly, in those in receipt of benefits (34 patients) versus not receiving benefits (193 patients); MD (95% CI)?=?-4.46 (-12.21, 3.30), p?=?0.26. CONCLUSIONS: Our data does not support the hypothesis that CBT has smaller effects in depressed patients receiving disability benefits versus other patients. Given that the confidence interval is wide, a decreased effect is still possible, though if the difference exists, it is likely to be small."			2012				1944
Chronic Care Model Decision Support and Clinical Information Systems interventions for people living with HIV: a systematic review		"Pasricha, A., Deinstadt, R. T., Moher, D., Killoran, A., Rourke, S. B. and Kendall, C. E."				journal of general internal medicine	journal of general internal medicine	"BACKGROUND: The Chronic Care Model is an effective framework for improving chronic disease management. There is scarce literature describing this model for people living with HIV. Decision Support (DS) and Clinical Information Systems (CIS) are two components of this model that aim to improve care by changing health care provider behavior. OBJECTIVE: Our aim was to assess the effectiveness of DS and CIS interventions for individuals with HIV, through a systematic literature review. DESIGN: We performed systematic electronic searches from 1996 to February 2011 of the medical (E.g. Medline, EMBASE, CINAHL) and grey literature. Effectiveness was measured by the frequency of statistically significant outcome improvement. Data and key equity indicator extraction and synthesis was completed. PARTICIPANTS AND INTERVENTIONS: We included comparative studies of people living with HIV that examined the impact of DS or CIS interventions on outcomes. MAIN MEASURES: The following measures were assessed: outcome (immunological/virological, medical, psychosocial, economic measures) and health care process/performance measures. KEY RESULTS: Records were screened for relevance (n?=?10,169), full-text copies of relevant studies were obtained (n?=?123), and 16 studies were included in the review. Overall, 5/9 (55.6%) and 17/41 (41.5%) process measures and 5/12 (41.7%) and 3/9 (33.3%) outcome measures for DS and CIS interventions, respectively, were statistically significantly improved. DS-explicit mention of implementation of guidelines and CIS-reminders showed the most frequent improvement in outcomes. DS-only interventions were more effective than CIS-only interventions in improving both process and outcome measures. Clinical, statistical and methodological heterogeneity among studies precluded meta-analysis. Primary studies were methodologically weak and often included multifaceted interventions that made assessment of effectiveness challenging. CONCLUSIONS: Overall, DS and CIS interventions may modestly improve care for people living with HIV, having a greater impact on process measures compared to outcome measures. These interventions should be considered as part of strategies to improve HIV care through changing provider performance."			2013				3063
Laparoscopic versus open catheter placement in peritoneal dialysis patients: a systematic review and meta-analysis		"Xie, H., Zhang, W., Cheng, J. and He, Q."				bmc nephrology	bmc nephrology	"BACKGROUND: Peritoneal dialysis has been proven to be a safe and effective mode of renal replacement therapy for patients with end-stage renal disease. The usage of laparoscopic catheter placement technique was increased in recent years. But the advantages and disadvantages between the laparoscopic catheter placement technique and open laparotomy technique were still http://in controversy. The objective of this study is to access the operation-related data and complications of catheter placement for peritoneal dialysis (PD) patients, Then to determine the better method for catheter insertion. METHODS: We performed a systematic review and meta-analysis on published studies identified by the databases PubMed, EMBASE, Highwire, and the Cochrane Library. Analysis was performed using the statistical software Review Manager Version 5.0. RESULTS: We assessed the operation-related data and complications of four randomized controlled trials (RCTs) and ten observational studies. The available data showed that laparoscope prolonged the time for catheter insertion in PD patients, however, the two groups did not significantly differ in hospital stays, early and late complications, including infection, dialysate leaks, catheter migration, pericannular bleeding, blockage and hernia. CONCLUSIONS: The data showed that Laparoscopic catheter placement had no superiority to open surgery. However, this treatment still needs to be confirmed in a large, multi-center, well-designed RCT."			2012				1201
